Date,Price,Open,High,Low,Vol.,Change %
9-Dec-17,"12,926.20","13,701.20","13,778.00","11,110.00",8.09K,-5.66%
8-Dec-17,"13,701.20","14,500.00","14,995.00","12,500.00",10.42K,-5.51%
7-Dec-17,"14,500.00","12,461.00","14,890.00","11,750.00",12.26K,16.36%
6-Dec-17,"12,461.00","10,096.00","12,700.00","10,090.00",8.77K,23.43%
5-Dec-17,"10,096.00","9,935.00","10,130.00","9,900.00",2.69K,1.62%
4-Dec-17,"9,935.00","9,701.10","9,935.00","9,680.00",2.83K,2.41%
3-Dec-17,"9,701.10","9,480.00","9,951.00","9,300.00",4.71K,2.33%
2-Dec-17,"9,480.00","9,275.00","9,679.00","9,180.00",2.82K,2.21%
1-Dec-17,"9,275.00","8,964.30","9,325.00","8,405.10",4.89K,3.47%
30-Nov-17,"8,964.30","8,608.00","9,400.00","8,002.00",8.61K,4.14%
29-Nov-17,"8,608.00","8,345.00","9,694.00","7,050.00",11.99K,3.15%
28-Nov-17,"8,345.00","8,174.10","8,398.00","8,140.00",2.77K,2.09%
27-Nov-17,"8,174.10","7,799.50","8,199.00","7,799.50",4.05K,4.80%
26-Nov-17,"7,799.50","7,339.50","8,059.00","7,339.50",4.16K,6.27%
25-Nov-17,"7,339.50","6,966.00","7,339.50","6,950.50",1.87K,5.36%
24-Nov-17,"6,966.00","6,868.00","7,100.50","6,800.00",2.09K,1.43%
23-Nov-17,"6,868.00","7,070.10","7,080.00","6,868.00",2.43K,-2.86%
22-Nov-17,"7,070.10","7,021.20","7,176.50","7,001.60",2.09K,0.70%
21-Nov-17,"7,021.20","7,080.00","7,195.00","6,750.00",3.80K,-0.83%
20-Nov-17,"7,080.00","6,818.00","7,106.40","6,771.00",2.99K,3.84%
19-Nov-17,"6,818.00","6,617.00","6,850.00","6,570.20",2.05K,3.04%
18-Nov-17,"6,617.00","6,592.30","6,675.00","6,451.00",1.34K,0.37%
17-Nov-17,"6,592.30","6,652.20","6,793.00","6,423.10",3.53K,-0.90%
16-Nov-17,"6,652.20","6,275.00","6,775.00","6,156.00",4.39K,6.01%
15-Nov-17,"6,275.00","5,688.80","6,288.00","5,688.80",4.90K,10.30%
14-Nov-17,"5,688.80","5,687.00","5,800.00","5,610.00",2.04K,0.03%
13-Nov-17,"5,687.00","5,099.00","5,999.00","5,058.20",6.52K,11.53%
12-Nov-17,"5,099.00","5,490.00","5,650.20","4,695.00",7.01K,-7.12%
11-Nov-17,"5,490.00","5,687.60","5,916.20","5,317.40",4.04K,-3.47%
10-Nov-17,"5,687.60","6,207.60","6,300.00","5,510.00",6.44K,-8.38%
9-Nov-17,"6,207.60","6,488.00","6,489.00","6,180.00",3.12K,-4.32%
8-Nov-17,"6,488.00","6,220.40","6,800.00","6,100.00",6.21K,4.30%
7-Nov-17,"6,220.40","6,060.00","6,343.00","6,060.00",2.00K,2.65%
6-Nov-17,"6,060.00","6,488.00","6,524.20","6,006.00",4.49K,-6.60%
5-Nov-17,"6,488.00","6,419.40","6,682.00","6,380.00",2.07K,1.07%
4-Nov-17,"6,419.40","6,291.40","6,468.90","6,135.90",1.64K,2.03%
3-Nov-17,"6,291.40","6,112.40","6,495.50","6,070.00",3.76K,2.93%
2-Nov-17,"6,112.40","5,935.00","6,483.10","5,703.00",6.24K,2.99%
1-Nov-17,"5,935.00","5,598.20","5,935.00","5,540.00",3.24K,6.02%
31-Oct-17,"5,598.20","5,305.70","5,619.70","5,282.00",2.36K,5.51%
30-Oct-17,"5,305.70","5,275.00","5,355.00","5,241.00",1.48K,0.58%
29-Oct-17,"5,275.00","5,007.30","5,399.00","4,980.30",1.92K,5.35%
28-Oct-17,"5,007.30","5,030.00","5,085.00","4,960.00",0.59K,-0.45%
27-Oct-17,"5,030.00","5,073.30","5,147.00","4,980.50",1.43K,-0.85%
26-Oct-17,"5,073.30","4,929.00","5,164.50","4,899.30",1.80K,2.93%
25-Oct-17,"4,929.00","4,771.30","4,947.00","4,650.00",1.93K,3.30%
24-Oct-17,"4,771.30","5,030.70","5,030.70","4,690.00",2.55K,-5.16%
23-Oct-17,"5,030.70","5,096.90","5,174.90","4,860.30",2.07K,-1.30%
22-Oct-17,"5,096.90","5,148.90","5,190.10","4,908.20",1.63K,-1.01%
21-Oct-17,"5,148.90","5,074.20","5,318.00","5,013.00",1.84K,1.47%
20-Oct-17,"5,074.20","4,822.40","5,199.00","4,797.00",2.39K,5.22%
19-Oct-17,"4,822.40","4,776.00","4,851.00","4,730.00",1.33K,0.97%
18-Oct-17,"4,776.00","4,800.50","4,805.40","4,351.00",2.98K,-0.51%
17-Oct-17,"4,800.50","4,886.00","4,898.00","4,752.50",1.48K,-1.75%
16-Oct-17,"4,886.00","4,791.60","4,888.00","4,702.30",1.54K,1.97%
15-Oct-17,"4,791.60","4,899.00","4,909.00","4,607.80",1.56K,-2.19%
14-Oct-17,"4,899.00","4,774.00","4,912.30","4,701.00",1.06K,2.62%
13-Oct-17,"4,774.00","4,570.00","4,950.00","4,463.00",3.84K,4.46%
12-Oct-17,"4,570.00","4,087.10","4,570.00","4,082.10",3.04K,11.82%
11-Oct-17,"4,087.10","4,045.20","4,127.30","4,002.70",1.19K,1.04%
10-Oct-17,"4,045.20","4,082.30","4,168.50","4,006.00",1.78K,-0.91%
9-Oct-17,"4,082.30","3,893.00","4,148.00","3,864.00",2.26K,4.86%
8-Oct-17,"3,893.00","3,755.00","3,899.00","3,740.50",1.02K,3.68%
7-Oct-17,"3,755.00","3,724.80","3,769.00","3,705.00",0.45K,0.81%
6-Oct-17,"3,724.80","3,694.00","3,780.00","3,694.00",0.86K,0.83%
5-Oct-17,"3,694.00","3,622.90","3,738.00","3,565.90",1.02K,1.96%
4-Oct-17,"3,622.90","3,713.90","3,764.70","3,565.90",1.24K,-2.45%
3-Oct-17,"3,713.90","3,809.80","3,815.00","3,631.00",1.47K,-2.52%
2-Oct-17,"3,809.80","3,711.60","3,859.00","3,700.20",1.60K,2.65%
1-Oct-17,"3,711.60","3,675.30","3,715.00","3,640.90",0.66K,0.99%
30-Sep-17,"3,675.30","3,545.60","3,725.00","3,540.00",0.94K,3.66%
29-Sep-17,"3,545.60","3,568.40","3,617.40","3,400.00",1.36K,-0.64%
28-Sep-17,"3,568.40","3,594.90","3,680.00","3,500.00",1.53K,-0.73%
27-Sep-17,"3,594.90","3,300.00","3,648.00","3,293.40",2.06K,8.94%
26-Sep-17,"3,300.00","3,320.90","3,390.00","3,300.00",1.15K,-0.63%
25-Sep-17,"3,320.90","3,107.00","3,374.00","3,107.00",1.29K,6.88%
24-Sep-17,"3,107.00","3,200.00","3,200.00","3,100.00",0.63K,-2.90%
23-Sep-17,"3,200.00","3,097.90","3,295.00","3,060.00",0.99K,3.29%
22-Sep-17,"3,097.90","3,051.70","3,166.40","2,980.90",1.61K,1.52%
21-Sep-17,"3,051.70","3,290.70","3,309.90","3,020.00",2.16K,-7.26%
20-Sep-17,"3,290.70","3,289.50","3,369.00","3,217.50",0.94K,0.04%
19-Sep-17,"3,289.50","3,444.30","3,457.00","3,237.00",1.74K,-4.49%
18-Sep-17,"3,444.30","3,141.20","3,467.00","3,141.20",2.73K,9.65%
17-Sep-17,"3,141.20","3,138.50","3,227.00","2,922.60",1.58K,0.09%
16-Sep-17,"3,138.50","3,148.00","3,385.10","3,033.10",2.69K,-0.30%
15-Sep-17,"3,148.00","2,723.00","3,265.40","2,467.30",7.38K,15.61%
14-Sep-17,"2,723.00","3,273.80","3,315.30","2,723.00",4.66K,-16.82%
13-Sep-17,"3,273.80","3,501.60","3,518.40","3,121.20",3.25K,-6.51%
12-Sep-17,"3,501.60","3,551.00","3,675.00","3,420.00",2.00K,-1.39%
11-Sep-17,"3,551.00","3,555.10","3,625.00","3,450.60",0.97K,-0.12%
10-Sep-17,"3,555.10","3,628.50","3,647.30","3,443.00",1.01K,-2.02%
9-Sep-17,"3,628.50","3,644.90","3,725.00","3,505.00",0.88K,-0.45%
8-Sep-17,"3,644.90","3,876.80","3,914.70","3,450.00",2.61K,-5.98%
7-Sep-17,"3,876.80","3,903.20","3,922.00","3,787.00",1.61K,-0.68%
6-Sep-17,"3,903.20","3,745.50","3,953.90","3,745.50",3.13K,4.21%
5-Sep-17,"3,745.50","3,761.00","3,814.20","3,596.10",1.95K,-0.41%
4-Sep-17,"3,761.00","3,925.50","3,928.30","3,549.70",3.48K,-4.19%
3-Sep-17,"3,925.50","3,907.90","4,024.50","3,850.00",0.99K,0.45%
2-Sep-17,"3,907.90","4,170.00","4,185.00","3,812.00",1.88K,-6.28%
1-Sep-17,"4,170.00","4,017.40","4,174.00","3,928.10",2.13K,3.80%
31-Aug-17,"4,017.40","3,865.40","4,027.70","3,863.50",1.86K,3.93%
30-Aug-17,"3,865.40","3,860.20","3,897.50","3,793.80",1.58K,0.14%
29-Aug-17,"3,860.20","3,670.00","3,941.40","3,620.00",1.91K,5.18%
28-Aug-17,"3,670.00","3,658.00","3,670.00","3,552.00",1.22K,0.33%
27-Aug-17,"3,658.00","3,671.70","3,696.80","3,640.30",0.61K,-0.37%
26-Aug-17,"3,671.70","3,688.10","3,696.70","3,603.40",0.55K,-0.45%
25-Aug-17,"3,688.10","3,677.70","3,778.10","3,615.00",1.39K,0.28%
24-Aug-17,"3,677.70","3,526.90","3,699.00","3,515.00",1.07K,4.28%
23-Aug-17,"3,526.90","3,495.30","3,650.00","3,436.20",1.68K,0.90%
22-Aug-17,"3,495.30","3,403.00","3,553.50","3,050.00",2.51K,2.71%
