Date,Price,Open,High,Low,Vol.,Change %
24-May-17,"17,687.60","15,665.50","17,959.30","14,951.60",0.20K,12.91%
23-May-17,"15,665.50","15,481.10","17,351.90","14,157.80",0.10K,1.19%
22-May-17,"15,481.10","13,956.90","15,940.90","13,898.30",0.13K,10.92%
21-May-17,"13,956.90","14,354.60","14,454.20","13,818.30",0.07K,-2.77%
20-May-17,"14,354.60","13,872.20","14,377.70","13,424.70",0.09K,3.48%
19-May-17,"13,872.20","13,722.00","14,346.20","12,392.10",0.07K,1.09%
18-May-17,"13,722.00","13,663.60","13,778.30","12,360.50",0.08K,0.43%
17-May-17,"13,663.60","12,451.50","13,765.90","11,393.80",0.11K,9.73%
16-May-17,"12,451.50","12,140.60","12,486.00","11,714.20",0.12K,2.56%
15-May-17,"12,140.60","12,323.10","12,589.60","11,713.90",0.09K,-1.48%
14-May-17,"12,323.10","12,261.40","12,837.10","11,889.10",0.05K,0.50%
13-May-17,"12,261.40","12,038.60","12,950.40","11,625.30",0.07K,1.85%
12-May-17,"12,038.60","12,746.70","13,137.70","12,038.60",0.12K,-5.55%
11-May-17,"12,746.70","12,284.60","13,196.90","11,494.10",0.08K,3.76%
10-May-17,"12,284.60","11,879.40","12,924.10","9,882.20",0.16K,3.41%
9-May-17,"11,879.40","10,636.10","12,425.10","9,906.70",0.14K,11.69%
8-May-17,"10,636.10","10,787.60","11,285.80","10,381.10",0.12K,-1.40%
7-May-17,"10,787.60","10,771.10","11,045.10","10,379.40",0.05K,0.15%
6-May-17,"10,771.10","10,551.70","11,147.70","10,410.00",0.06K,2.08%
5-May-17,"10,551.70","11,031.70","11,727.50","10,106.30",0.05K,-4.35%
4-May-17,"11,031.70","10,319.80","13,100.10","9,844.70",0.19K,6.90%
3-May-17,"10,319.80","9,872.30","10,405.50","9,518.00",0.03K,4.53%
2-May-17,"9,872.30","9,620.60","10,405.40","8,891.30",0.12K,2.62%
1-May-17,"9,620.60","9,152.30","9,755.00","8,925.10",0.07K,5.12%
30-Apr-17,"9,152.30","9,066.10","9,238.30","9,044.20",0.05K,0.95%
29-Apr-17,"9,066.10","9,135.20","9,305.60","8,948.10",0.03K,-0.76%
28-Apr-17,"9,135.20","9,210.50","9,378.00","8,869.90",0.03K,-0.82%
27-Apr-17,"9,210.50","8,811.30","9,264.60","8,748.50",0.08K,4.53%
26-Apr-17,"8,811.30","8,683.50","8,985.70","8,496.00",0.05K,1.47%
25-Apr-17,"8,683.50","8,623.10","8,860.70","8,266.20",0.05K,0.70%
24-Apr-17,"8,623.10","8,496.80","8,623.20","8,137.00",0.08K,1.49%
23-Apr-17,"8,496.80","8,516.80","8,654.20","8,183.80",0.02K,1.16%
22-Apr-17,"8,399.30","8,537.70","8,654.10","8,287.30",0.01K,-1.62%
21-Apr-17,"8,537.70","8,536.30","8,656.50","8,264.60",0.02K,0.02%
20-Apr-17,"8,536.30","8,204.50","8,588.90","8,164.90",0.08K,4.04%
19-Apr-17,"8,204.50","8,252.50","8,395.40","7,991.30",0.03K,-0.45%
18-Apr-17,"8,241.90","8,318.40","8,424.10","7,477.20",0.03K,-0.92%
17-Apr-17,"8,318.40","8,155.80","8,387.30","8,093.20",0.06K,1.99%
16-Apr-17,"8,155.80","8,149.30","8,357.60","8,116.30",0.02K,0.08%
15-Apr-17,"8,149.30","8,365.20","8,882.30","8,127.50",0.01K,-2.58%
14-Apr-17,"8,365.20","8,008.10","8,882.50","7,993.60",0.01K,4.46%
13-Apr-17,"8,008.10","8,379.30","8,748.00","7,943.00",0.12K,-4.43%
12-Apr-17,"8,379.30","8,333.90","8,497.50","8,175.50",0.02K,0.54%
11-Apr-17,"8,333.90","8,248.50","8,504.20","7,792.30",0.06K,1.03%
10-Apr-17,"8,248.50","8,140.30","8,504.80","7,744.60",0.22K,1.33%
9-Apr-17,"8,140.30","8,016.10","8,313.50","7,967.90",0.07K,1.55%
