Date,Price,Open,High,Low,Vol.,Change %
22-Jul-17,"293,762","289,944","304,004","276,631",0.02K,1.32%
21-Jul-17,"289,944","301,981","314,438","238,751",0.07K,-3.99%
20-Jul-17,"301,981","256,132","314,501","233,806",0.17K,17.90%
19-Jul-17,"256,132","242,358","266,082","234,103",0.04K,-2.66%
18-Jul-17,"263,120","245,463","264,321","219,353",0.10K,7.19%
17-Jul-17,"245,463","209,170","246,641","209,120",0.13K,17.35%
16-Jul-17,"209,170","230,953","259,469","207,666",0.11K,-9.43%
15-Jul-17,"230,953","255,488","281,375","230,953",0.14K,-9.60%
14-Jul-17,"255,488","281,324","284,524","253,852",0.06K,-9.18%
13-Jul-17,"281,324","281,462","284,458","263,499",0.07K,-0.05%
12-Jul-17,"281,466","269,523","296,255","265,856",0.04K,4.43%
11-Jul-17,"269,523","273,789","301,735","267,394",0.12K,-1.56%
10-Jul-17,"273,789","291,868","302,599","273,735",0.08K,-6.19%
9-Jul-17,"291,868","295,715","301,809","291,356",0.05K,-1.30%
8-Jul-17,"295,715","293,044","304,722","291,273",0.02K,0.91%
7-Jul-17,"293,044","296,418","308,677","291,436",0.04K,-1.14%
6-Jul-17,"296,418","305,679","311,730","292,534",0.03K,0.81%
5-Jul-17,"294,032","302,303","314,683","292,408",0.03K,-0.44%
4-Jul-17,"295,330","296,100","313,696","283,749",0.06K,-0.26%
3-Jul-17,"296,100","284,630","306,309","274,247",0.07K,4.03%
2-Jul-17,"284,630","284,340","292,423","262,426",0.03K,0.10%
1-Jul-17,"284,340","280,085","300,000","262,426",0.03K,1.28%
30-Jun-17,"280,741","286,974","295,530","272,358",0.18K,-2.17%
29-Jun-17,"286,974","291,532","297,657","278,583",0.10K,-1.56%
28-Jun-17,"291,532","286,869","315,922","266,903",0.06K,1.63%
27-Jun-17,"286,869","281,862","315,131","266,703",0.12K,1.78%
26-Jun-17,"281,862","286,639","329,408","278,499",0.10K,-1.67%
25-Jun-17,"286,639","292,514","318,045","285,185",0.02K,-2.01%
24-Jun-17,"292,514","311,033","314,970","292,514",0.04K,-5.95%
23-Jun-17,"311,033","303,229","338,280","301,078",0.08K,1.37%
22-Jun-17,"306,815","295,047","314,187","294,183",0.11K,3.99%
21-Jun-17,"295,047","303,346","314,442","295,047",0.12K,-2.74%
20-Jun-17,"303,346","299,208","312,964","285,688",0.07K,1.38%
19-Jun-17,"299,208","274,511","300,747","274,511",0.05K,9.00%
18-Jun-17,"274,511","291,365","321,302","274,156",0.03K,-5.78%
17-Jun-17,"291,365","279,492","321,302","260,555",0.06K,4.25%
16-Jun-17,"279,492","273,002","310,151","242,276",0.07K,-1.72%
15-Jun-17,"284,375","308,614","336,948","241,493",0.02K,-7.85%
14-Jun-17,"308,614","320,694","335,307","284,249",0.11K,-3.77%
13-Jun-17,"320,694","309,888","361,345","297,214",0.06K,3.49%
12-Jun-17,"309,888","332,419","361,345","296,128",0.09K,-6.78%
11-Jun-17,"332,419","324,000","339,535","315,294",0.03K,2.60%
10-Jun-17,"324,000","321,900","350,177","315,331",0.03K,0.65%
9-Jun-17,"321,900","317,275","348,936","304,494",0.04K,1.46%
8-Jun-17,"317,275","320,347","350,599","298,080",0.06K,-0.96%
7-Jun-17,"320,347","320,283","350,599","298,729",0.08K,0.02%
6-Jun-17,"320,283","304,546","337,159","288,042",0.12K,5.17%
5-Jun-17,"304,546","296,356","319,043","275,573",0.05K,2.76%
4-Jun-17,"296,356","282,821","298,950","267,351",0.07K,4.79%
3-Jun-17,"282,821","278,197","298,951","278,187",0.06K,1.66%
2-Jun-17,"278,197","271,102","307,974","260,000",0.07K,2.62%
1-Jun-17,"271,102","262,456","312,183","249,172",0.12K,3.29%
31-May-17,"262,456","267,155","284,040","248,301",0.09K,-1.76%
30-May-17,"267,155","264,010","291,657","240,168",0.04K,1.19%
29-May-17,"264,010","249,256","297,161","238,300",0.07K,5.92%
28-May-17,"249,256","252,700","278,525","217,596",0.05K,-1.36%
27-May-17,"252,700","260,017","322,539","217,623",0.11K,-2.81%
26-May-17,"260,017","269,662","382,414","255,146",0.15K,-3.58%
25-May-17,"269,662","286,397","382,689","254,061",0.22K,-5.84%
24-May-17,"286,397","254,475","292,120","242,576",0.20K,12.54%
23-May-17,"254,475","249,444","281,490","225,120",0.10K,2.02%
22-May-17,"249,444","226,666","258,492","224,779",0.13K,10.05%
21-May-17,"226,666","231,959","249,390","223,865",0.07K,-2.28%
20-May-17,"231,959","224,118","232,332","216,889",0.09K,3.50%
19-May-17,"224,118","221,809","232,341","209,003",0.07K,1.04%
18-May-17,"221,809","220,621","222,545","198,533",0.08K,0.54%
17-May-17,"220,621","203,828","238,779","186,207",0.11K,8.24%
16-May-17,"203,828","200,102","205,840","192,235",0.12K,1.86%
15-May-17,"200,102","202,196","206,576","193,029",0.09K,-1.04%
14-May-17,"202,196","201,502","206,651","191,048",0.05K,0.34%
13-May-17,"201,502","197,841","212,825","191,048",0.07K,1.85%
12-May-17,"197,841","210,125","231,569","195,996",0.12K,-5.85%
11-May-17,"210,125","203,548","231,569","193,533",0.08K,3.23%
10-May-17,"203,548","195,542","214,031","187,122",0.16K,4.09%
9-May-17,"195,542","174,375","205,634","163,026",0.14K,12.14%
8-May-17,"174,375","176,601","184,227","170,409",0.12K,-1.26%
7-May-17,"176,601","175,887","180,363","169,492",0.05K,0.41%
6-May-17,"175,887","172,305","182,751","169,992",0.06K,2.08%
5-May-17,"172,305","180,000","213,063","161,878",0.05K,-4.28%
4-May-17,"180,000","168,757","214,444","161,000",0.19K,6.66%
3-May-17,"168,757","160,380","169,149","146,856",0.03K,5.22%
2-May-17,"160,380","156,053","169,267","146,856",0.12K,2.77%
1-May-17,"156,053","147,368","158,139","144,758",0.07K,5.89%
30-Apr-17,"147,368","146,668","149,095","144,758",0.05K,0.48%
29-Apr-17,"146,668","147,757","150,513","144,758",0.03K,-0.74%
28-Apr-17,"147,757","148,531","150,747","142,747",0.03K,-0.52%
27-Apr-17,"148,531","142,180","149,350","141,279",0.08K,4.47%
26-Apr-17,"142,180","140,115","146,103","138,350",0.05K,1.47%
25-Apr-17,"140,115","137,283","141,483","134,411",0.05K,2.06%
24-Apr-17,"137,283","137,550","137,827","132,000",0.08K,-0.19%
23-Apr-17,"137,550","134,945","137,867","131,235",0.02K,1.28%
22-Apr-17,"135,813","135,277","137,121","131,308",0.06K,0.40%
21-Apr-17,"135,277","135,649","137,475","130,671",0.02K,-0.27%
20-Apr-17,"135,649","129,682","136,245","129,250",0.08K,4.60%
19-Apr-17,"129,682","128,894","132,739","118,170",0.03K,-0.32%
18-Apr-17,"130,098","132,146","143,019","118,170",0.08K,-1.55%
17-Apr-17,"132,146","128,155","132,355","127,647",0.06K,3.11%
16-Apr-17,"128,155","128,529","140,279","127,906",0.02K,-0.29%
15-Apr-17,"128,529","131,878","140,031","128,510",0.01K,-2.54%
14-Apr-17,"131,878","126,876","141,105","125,397",0.01K,3.94%
13-Apr-17,"126,876","132,432","138,697","120,890",0.12K,-4.19%
12-Apr-17,"132,432","132,584","135,094","130,271",0.02K,-0.11%
11-Apr-17,"132,584","132,315","136,003","125,000",0.06K,0.20%
