Date,Price,Open,High,Low,Vol.,Change %
25-Nov-17,"6,644.18","6,375.05","6,645.75","6,051.71",0.08K,4.22%
24-Nov-17,"6,375.05","6,129.41","6,675.15","6,043.57",0.07K,3.04%
23-Nov-17,"6,187.24","6,378.58","6,382.13","5,971.95",0.10K,-3.00%
22-Nov-17,"6,378.58","6,191.27","6,421.92","6,063.60",0.05K,3.03%
21-Nov-17,"6,191.27","6,192.68","6,349.29","6,038.74",0.12K,-0.02%
20-Nov-17,"6,192.68","6,273.61","6,337.72","6,012.49",0.09K,3.93%
19-Nov-17,"5,958.47","5,909.12","5,977.82","5,700.98",0.01K,0.84%
18-Nov-17,"5,909.12","5,859.88","6,005.98","5,698.12",0.03K,0.84%
17-Nov-17,"5,859.88","5,917.46","6,014.09","5,480.59",0.10K,-0.97%
16-Nov-17,"5,917.46","5,690.12","5,919.18","5,296.77",0.18K,4.00%
15-Nov-17,"5,690.12","5,370.95","5,692.97","5,189.18",0.10K,5.94%
14-Nov-17,"5,370.95","5,312.91","5,559.28","4,494.00",0.05K,1.09%
13-Nov-17,"5,312.91","4,785.00","5,589.62","4,462.43",0.22K,11.03%
12-Nov-17,"4,785.00","5,273.71","5,733.82","4,770.46",0.09K,-9.27%
11-Nov-17,"5,273.71","5,114.85","5,733.82","5,017.27",0.06K,3.11%
10-Nov-17,"5,114.85","5,413.13","5,804.85","5,014.12",0.12K,-5.51%
9-Nov-17,"5,413.13","5,799.90","5,963.19","5,413.13",0.09K,-6.67%
8-Nov-17,"5,799.90","5,525.16","5,972.89","5,388.34",0.09K,4.97%
7-Nov-17,"5,525.16","5,323.26","5,708.62","5,254.16",0.05K,3.79%
6-Nov-17,"5,323.26","5,658.25","5,785.74","5,253.70",0.10K,-5.92%
5-Nov-17,"5,658.25","5,771.97","5,808.66","5,487.78",0.05K,-1.97%
4-Nov-17,"5,771.97","5,558.74","6,062.18","5,291.11",0.04K,3.84%
3-Nov-17,"5,558.74","5,322.16","6,066.17","5,198.42",0.09K,2.65%
2-Nov-17,"5,415.46","5,125.43","5,793.65","4,685.87",0.09K,5.66%
1-Nov-17,"5,125.43","4,825.12","5,129.57","4,601.15",0.06K,6.22%
31-Oct-17,"4,825.12","4,617.42","4,858.59","4,393.76",0.05K,4.50%
30-Oct-17,"4,617.42","4,719.09","4,809.56","4,387.57",0.04K,-2.15%
29-Oct-17,"4,719.09","4,446.38","4,761.25","4,381.56",0.05K,6.13%
28-Oct-17,"4,446.38","4,441.01","4,563.01","4,372.16",0.01K,0.12%
27-Oct-17,"4,441.01","4,414.85","4,642.29","4,116.41",0.03K,0.64%
26-Oct-17,"4,412.95","4,388.22","4,619.08","4,100.43",0.01K,0.56%
25-Oct-17,"4,388.22","4,325.14","4,522.06","4,177.98",0.05K,1.46%
24-Oct-17,"4,325.14","4,599.83","4,656.71","4,248.29",0.09K,-5.97%
23-Oct-17,"4,599.83","4,485.51","4,667.43","4,393.42",0.06K,2.55%
22-Oct-17,"4,485.51","4,566.22","4,712.85","4,452.50",0.03K,-1.77%
21-Oct-17,"4,566.22","4,545.55","4,710.57","4,285.89",0.04K,0.45%
20-Oct-17,"4,545.55","4,316.51","4,558.68","4,251.38",0.07K,5.31%
19-Oct-17,"4,316.51","4,277.24","4,393.62","4,006.86",0.03K,0.92%
18-Oct-17,"4,277.24","4,287.02","4,433.96","4,015.31",0.11K,-0.23%
17-Oct-17,"4,287.02","4,266.85","4,428.89","4,208.20",0.04K,-1.46%
16-Oct-17,"4,350.39","4,310.16","4,423.49","4,127.48",0.03K,0.93%
15-Oct-17,"4,310.16","4,317.20","4,374.45","3,949.48",0.06K,-0.16%
